cityName,stateName,cityCode,locationType,aliasCityName,weightage
Tumuki (Tezpur Medical),Assam,MMTCC49972,CITY,,2075
Kotananduru,Andhra Pradesh,MMTCC41140,CITY,,5000
Pota,Haryana,MMTCC41141,CITY,,5000
Rachapudi,Andhra Pradesh,MMTCC41142,CITY,,2646
Udayarpalayam,Tamil Nadu,MMTCC41143,CITY,,5000
Mallawan,Uttar Pradesh,MMTCC41144,CITY,,5000
Khawzawl,Mizoram,MMTCC41145,CITY,,5000
Bagbasa,Tripura,MMTCC41146,CITY,,5000
Chhibramau,Uttar Pradesh,MMTCC41147,CITY,,5000
Saria,Chhattisgarh,MMTCC41148,CITY,,5000
Deosar,Madhya Pradesh,MMTCC41150,CITY,,5000
Naubatpur,Bihar,MMTCC41151,CITY,,5000
Brahmadevam,Andhra Pradesh,MMTCC41152,CITY,,5000
Thiruvidaimaruthur,Tamil Nadu,MMTCC41153,CITY,,2967
Bhimasar(Gujrat),Gujarat,MMTCC41154,CITY,,2075
Dewari,Chhattisgarh,MMTCC41155,CITY,,5000
Dahagaon,Maharashtra,MMTCC41156,CITY,,5000
Madiya,Rajasthan,MMTCC41157,CITY,,5000
Chakrayapet,Andhra Pradesh,MMTCC41158,CITY,,5000
Nagandla,Andhra Pradesh,MMTCC41159,CITY,,5000
Mahishi,Bihar,MMTCC41160,CITY,,5000
Jhinkpani,Jharkhand,MMTCC41161,CITY,,5000
Manohar Thana,Rajasthan,MMTCC41162,CITY,,5000
Tippi,Arunachal Pradesh,MMTCC41163,CITY,,5000
Bollapalle,Tamil Nadu,MMTCC41164,CITY,,5000
Sonatala,Tripura,MMTCC41165,CITY,,5000
Ghathashi,Nagaland,MMTCC41166,CITY,,5000
Kaihar,Bihar,MMTCC41167,CITY,,5000
Ranni,Kerala,MMTCC41168,CITY,,5000
Asika,Odisha,MMTCC41169,CITY,,1428
Korukonda,Andhra Pradesh,MMTCC41170,CITY,,1709
Tiruvallur,Tamil Nadu,MMTCC41171,CITY,,5000
Bukkaraya Samudram,Andhra Pradesh,MMTCC41172,CITY,,5000
Thirukkuvalai,Tamil Nadu,MMTCC41173,CITY,,5000
